source,target,weight
Latvia,ROC,1
Latvia,Serbia,1
ROC,Serbia,2
ROC,United States of America,22
People's Republic of China,United States of America,133
People's Republic of China,ROC,16
Austria,Switzerland,48
Norway,Switzerland,26
Austria,Norway,43
Switzerland,United States of America,62
Italy,Norway,42
Italy,United States of America,141
Norway,United States of America,75
Sweden,Switzerland,41
Austria,Sweden,20
Austria,Czech Republic,4
Czech Republic,Liechtenstein,1
Austria,Liechtenstein,3
Canada,Norway,26
Austria,Canada,15
France,Switzerland,46
Austria,France,41
Slovenia,Switzerland,6
France,Slovenia,7
France,Norway,36
Austria,United States of America,46
Austria,Germany,75
Germany,Norway,58
Italy,Switzerland,34
Italy,Sweden,42
Slovakia,Switzerland,1
Austria,Slovakia,2
Croatia,United States of America,6
Croatia,Switzerland,4
France,Germany,100
Croatia,Italy,8
Austria,Croatia,4
Slovenia,Sweden,2
Croatia,Germany,5
Germany,United States of America,209
Croatia,Sweden,6
Germany,Sweden,59
Sweden,United States of America,137
Austria,Italy,32
Canada,United States of America,224
Federal Republic of Germany,Switzerland,19
Canada,Federal Republic of Germany,17
Canada,Switzerland,29
Austria,Federal Republic of Germany,6
Federal Republic of Germany,United States of America,73
Liechtenstein,Switzerland,3
Germany,Italy,88
France,Sweden,55
France,Italy,108
Czechoslovakia,Switzerland,11
Italy,Luxembourg,2
Luxembourg,Norway,2
Liechtenstein,Sweden,1
Germany,Switzerland,41
Switzerland,Yugoslavia,7
Liechtenstein,Yugoslavia,1
France,United States of America,161
Canada,France,42
Federal Republic of Germany,France,20
Federal Republic of Germany,Liechtenstein,4
France,Liechtenstein,2
Austria,Slovenia,12
Germany,Slovenia,8
Finland,United States of America,83
Finland,Sweden,99
Federal Republic of Germany,Italy,19
Italy,Liechtenstein,4
Austria,Japan,17
Japan,Sweden,12
Italy,Slovenia,7
Italy,Spain,10
Austria,New Zealand,5
Austria,Spain,2
New Zealand,Spain,6
Federal Republic of Germany,Yugoslavia,5
Soviet Union,Switzerland,24
Austria,Soviet Union,13
Australia,Germany,73
Australia,Italy,39
Croatia,France,6
Canada,Germany,63
Czech Republic,Germany,21
Russian Federation,United States of America,103
Italy,Russian Federation,50
Slovenia,United States of America,4
Belgium,France,46
Republic of Korea,Unified Team,7
Germany,Republic of Korea,25
Italy,Japan,26
Australia,Japan,27
France,Republic of Korea,27
Republic of Korea,United States of America,66
Italy,Turkey,7
Japan,Turkey,9
Chinese Taipei,Republic of Korea,8
Japan,Republic of Korea,58
Chinese Taipei,Japan,7
Netherlands,Republic of Korea,25
Mexico,Republic of Korea,7
Mexico,Netherlands,1
Italy,Republic of Korea,30
ROC,Republic of Korea,10
Italy,ROC,7
Germany,ROC,7
Republic of Korea,Sweden,5
France,Great Britain,103
Great Britain,Republic of Korea,13
Republic of Korea,Ukraine,11
Russian Federation,Ukraine,41
Republic of Korea,Russian Federation,33
People's Republic of China,Republic of Korea,90
Japan,People's Republic of China,66
Australia,United States of America,239
Australia,Netherlands,46
Netherlands,United States of America,104
People's Republic of China,Ukraine,22
Japan,United States of America,145
Finland,Soviet Union,73
Finland,Italy,26
Italy,Soviet Union,72
Soviet Union,United States of America,199
Republic of Korea,Soviet Union,21
Poland,United States of America,49
Poland,Soviet Union,95
Belgium,Netherlands,20
France,Netherlands,43
Chinese Taipei,Ukraine,3
Finland,Spain,3
Great Britain,Spain,24
Finland,Great Britain,20
Italy,People's Republic of China,36
Chinese Taipei,People's Republic of China,9
Poland,Republic of Korea,10
Germany,Poland,43
People's Republic of China,Unified Team,19
France,People's Republic of China,40
Germany,Ukraine,17
Australia,Republic of Korea,6
Chinese Taipei,Russian Federation,1
Great Britain,United States of America,260
Indonesia,Republic of Korea,11
Indonesia,United States of America,2
Japan,ROC,12
Israel,People's Republic of China,2
Israel,Spain,2
People's Republic of China,Spain,11
Croatia,Japan,1
Croatia,ROC,2
Germany,Turkey,8
Germany,People's Republic of China,60
People's Republic of China,Turkey,14
Great Britain,Japan,30
Chinese Taipei,Great Britain,2
Greece,People's Republic of China,9
Armenia,ROC,2
Armenia,Republic of Korea,3
Brazil,ROC,3
Brazil,United States of America,54
Great Britain,ROC,9
Belgium,ROC,1
Belgium,United States of America,24
Brazil,Republic of Korea,10
ROC,Ukraine,6
Hungary,United States of America,88
Germany,Hungary,65
Finland,France,19
Eritrea,Ethiopia,1
Ethiopia,Kenya,26
Ethiopia,Morocco,7
Kenya,Morocco,12
Czechoslovakia,France,16
Czechoslovakia,Soviet Union,58
France,Soviet Union,34
Czechoslovakia,Sweden,13
Ethiopia,Great Britain,5
Ethiopia,United States of America,7
Finland,Poland,12
Great Britain,Italy,75
Italy,Kenya,5
Great Britain,Kenya,8
Hungary,Soviet Union,144
Australia,Soviet Union,35
Australia,Hungary,17
Kenya,Tunisia,3
Ethiopia,Tunisia,2
Finland,Portugal,1
Great Britain,Portugal,5
Ethiopia,Finland,3
Belgium,Finland,5
Belgium,Ethiopia,2
Germany,Soviet Union,59
Italy,Morocco,2
Tunisia,United States of America,2
Australia,Tunisia,3
Soviet Union,Sweden,62
Italy,South Africa,16
Great Britain,South Africa,17
Canada,Great Britain,56
Canada,Italy,38
People's Republic of China,Russian Federation,83
Ethiopia,People's Republic of China,2
People's Republic of China,Portugal,2
Ethiopia,Portugal,2
Ethiopia,South Africa,1
South Africa,United States of America,39
Kenya,United States of America,23
Great Britain,Soviet Union,56
Ukraine,United States of America,38
Greece,United States of America,18
Bulgaria,Greece,7
Bulgaria,United States of America,29
Australia,Canada,40
German Democratic Republic (Germany),Soviet Union,209
German Democratic Republic (Germany),Poland,29
German Democratic Republic (Germany),Romania,33
Bulgaria,German Democratic Republic (Germany),36
Bulgaria,Federal Republic of Germany,7
Federal Republic of Germany,German Democratic Republic (Germany),52
Kazakhstan,Nigeria,2
Kazakhstan,United States of America,16
Nigeria,United States of America,11
Germany,Great Britain,86
Portugal,United States of America,7
Canada,Namibia,1
Canada,Trinidad and Tobago,1
Namibia,Trinidad and Tobago,2
Great Britain,Namibia,1
Namibia,United States of America,4
Jamaica,Trinidad and Tobago,3
Jamaica,United States of America,52
Trinidad and Tobago,United States of America,9
Great Britain,Jamaica,11
Canada,South Africa,2
Panama,United States of America,2
Soviet Union,Trinidad and Tobago,3
Jamaica,Soviet Union,4
Cuba,Great Britain,17
Bulgaria,Great Britain,2
Bulgaria,Cuba,11
Great Britain,New Zealand,33
New Zealand,United States of America,35
Canada,Jamaica,4
Barbados,United States of America,1
Barbados,Trinidad and Tobago,1
Cuba,United States of America,53
Canada,Cuba,5
Belarus,United States of America,18
Belarus,Jamaica,1
Unified Team,United States of America,32
Jamaica,Unified Team,1
Australia,South Africa,9
Great Britain,Netherlands,53
Australia,Great Britain,67
Canada,Poland,9
Australia,German Democratic Republic (Germany),18
Cuba,German Democratic Republic (Germany),13
Australia,Cuba,8
German Democratic Republic (Germany),United States of America,87
Greece,Jamaica,1
Cuba,People's Republic of China,31
Cuba,France,29
Cuba,Soviet Union,22
South Africa,Sweden,8
Jamaica,Spain,1
France,Jamaica,7
France,Spain,12
Australia,France,43
Morocco,Portugal,2
Kenya,Portugal,1
Algeria,Spain,2
Algeria,Kenya,2
Kenya,Spain,1
Morocco,Spain,1
Qatar,Spain,1
Morocco,Qatar,1
Kenya,New Zealand,3
France,Kenya,7
France,New Zealand,11
Italy,New Zealand,6
Luxembourg,United States of America,1
Germany,Luxembourg,1
Netherlands,Sweden,24
Algeria,United States of America,8
Algeria,Morocco,2
Morocco,United States of America,3
Germany,Ireland,5
Australia,Ireland,5
Federal Republic of Germany,Kenya,3
Belgium,New Zealand,2
Federal Republic of Germany,New Zealand,6
Belgium,Federal Republic of Germany,5
German Democratic Republic (Germany),Great Britain,22
Finland,Kenya,2
Finland,New Zealand,2
Finland,Switzerland,14
Great Britain,Switzerland,28
Algeria,New Zealand,2
France,Hungary,42
German Democratic Republic (Germany),Kenya,3
Czechoslovakia,New Zealand,2
Great Britain,Russian Federation,19
Great Britain,Romania,15
Romania,Russian Federation,21
Austria,Russian Federation,9
Austria,Romania,5
Algeria,Unified Team,2
Algeria,People's Republic of China,2
Kenya,Ukraine,1
Italy,Romania,20
German Democratic Republic (Germany),Italy,18
Romania,Soviet Union,91
Algeria,Romania,2
India,United States of America,8
Italy,Jamaica,1
Australia,India,4
Great Britain,Greece,10
Greece,Trinidad and Tobago,1
Great Britain,Trinidad and Tobago,2
Bahamas,Jamaica,7
Bahamas,United States of America,11
France,Nigeria,3
Jamaica,Nigeria,2
Netherlands,Soviet Union,17
Australia,Poland,15
German Democratic Republic (Germany),Jamaica,3
Jamaica,Netherlands,1
Bahamas,Sri Lanka,1
Jamaica,Sri Lanka,1
Greece,Russian Federation,12
Australia,Greece,4
Australia,Russian Federation,23
Norway,Russian Federation,22
Mexico,People's Republic of China,10
Norway,People's Republic of China,5
Norway,Spain,4
Australia,Spain,22
Ecuador,Russian Federation,2
Ecuador,Mexico,2
Mexico,Russian Federation,8
Canada,Spain,5
Australia,Ecuador,1
Guatemala,People's Republic of China,1
Italy,Mexico,8
Mexico,Soviet Union,10
German Democratic Republic (Germany),Mexico,3
Australia,People's Republic of China,41
Czechoslovakia,German Democratic Republic (Germany),19
Czechoslovakia,Italy,13
Mexico,Poland,6
Poland,Russian Federation,17
Finland,Germany,26
Great Britain,Hungary,31
Great Britain,Norway,24
Hungary,Norway,9
Poland,Sweden,18
German Democratic Republic (Germany),Sweden,13
Poland,United Republic of Tanzania,1
Ethiopia,Poland,1
Ethiopia,United Republic of Tanzania,2
Belgium,Great Britain,23
Belgium,Soviet Union,6
Kenya,Russian Federation,2
Bahrain,Kenya,2
Bahrain,United States of America,1
Great Britain,Sweden,66
Canada,Unified Team,7
Canada,Romania,15
Australasia,Great Britain,10
Dominican Republic,Poland,1
Dominican Republic,United States of America,4
Dominican Republic,Jamaica,1
Dominican Republic,France,2
United States of America,Zambia,2
Philippines,United States of America,4
Canada,Philippines,3
New Zealand,Soviet Union,5
Sri Lanka,United States of America,1
Sri Lanka,Sweden,1
Dominican Republic,Puerto Rico,1
Puerto Rico,United States of America,4
Ireland,United States of America,5
Federal Republic of Germany,Great Britain,20
Uganda,United States of America,4
Great Britain,Uganda,2
Turkey,United States of America,27
Kenya,Turkey,2
Senegal,United States of America,1
Saudi Arabia,United States of America,1
Saudi Arabia,South Africa,1
Greece,Romania,2
Greece,Ukraine,4
Romania,Ukraine,8
Czech Republic,Russian Federation,22
Czech Republic,United States of America,14
Morocco,Romania,2
Romania,United States of America,67
Denmark,United States of America,44
Jamaica,Russian Federation,4
Morocco,Russian Federation,2
Jamaica,Morocco,1
Dominican Republic,Grenada,1
Grenada,Trinidad and Tobago,1
Dominican Republic,Trinidad and Tobago,1
Ivory Coast,United States of America,1
Grenada,South Africa,1
Grenada,United States of America,1
Germany,South Africa,7
Poland,Trinidad and Tobago,1
Bahamas,Mexico,1
Bahamas,Russian Federation,1
Australia,Nigeria,2
France,Unified Team,11
Colombia,France,3
Colombia,Unified Team,1
Australia,Jamaica,1
MIX,United States of America,4
Great Britain,Nigeria,2
Brazil,Canada,4
Cuba,Nigeria,4
Japan,Trinidad and Tobago,1
Brazil,Trinidad and Tobago,1
Brazil,Japan,14
France,Trinidad and Tobago,1
France,Poland,31
Federal Republic of Germany,Soviet Union,54
Jamaica,Japan,1
Canada,Japan,32
Brazil,Cuba,7
France,Russian Federation,45
Nigeria,Unified Team,1
Belgium,Nigeria,1
Belgium,Brazil,3
Brazil,Nigeria,5
Canada,Netherlands,36
Jamaica,Ukraine,2
Cuba,Federal Republic of Germany,3
Great Britain,Poland,20
France,South Africa,5
Bahamas,Great Britain,2
Germany,Jamaica,2
Bahamas,Trinidad and Tobago,1
Federal Republic of Germany,Poland,4
United States of America,West Indies Federation,1
Germany,West Indies Federation,1
Federal Republic of Germany,Jamaica,1
Bahamas,Nigeria,1
Germany,Nigeria,3
Great Britain,Unified Team,2
Burundi,Kenya,2
Burundi,Morocco,1
Germany,Kenya,2
Ethiopia,Germany,1
Czechoslovakia,Germany,18
Belgium,Czechoslovakia,3
Czechoslovakia,Netherlands,2
Morocco,Switzerland,1
Portugal,Switzerland,2
Federal Republic of Germany,Finland,6
Finland,United Republic of Tanzania,1
Finland,Tunisia,1
Great Britain,Tunisia,2
Germany,New Zealand,14
New Zealand,Poland,4
Algeria,Ethiopia,1
France,MIX,7
Kenya,People's Republic of China,2
Ireland,Romania,3
Ethiopia,Romania,1
Ethiopia,Ireland,1
Poland,Spain,6
Russian Federation,Spain,21
Mexico,Unified Team,1
Germany,Unified Team,31
Germany,Mexico,3
Great Britain,Latvia,4
Latvia,Switzerland,2
Hungary,Italy,68
Czechoslovakia,Hungary,13
Ireland,People's Republic of China,5
Italy,Latvia,4
Mexico,Sweden,3
New Zealand,Sweden,4
German Democratic Republic (Germany),Hungary,28
German Democratic Republic (Germany),Spain,5
Soviet Union,Spain,5
Australia,Slovakia,4
Japan,Slovakia,3
Latvia,Poland,1
Latvia,Mexico,1
Greece,Hungary,9
Russian Federation,South Africa,5
Denmark,Russian Federation,3
Denmark,South Africa,4
Norway,South Africa,1
Kenya,Norway,2
Kenya,South Africa,3
Kenya,Sudan,1
Botswana,Kenya,1
Brazil,Great Britain,18
Australia,Kenya,1
Belgium,Cuba,5
Kenya,Soviet Union,2
New Zealand,West Indies Federation,1
Belgium,West Indies Federation,1
Brazil,Kenya,1
Brazil,Morocco,1
Denmark,Germany,23
Algeria,Germany,2
Algeria,Denmark,1
Canada,New Zealand,12
Canada,Kenya,2
Germany,Japan,43
Great Britain,Morocco,1
Great Britain,Slovenia,5
Morocco,Slovenia,1
Cuba,Russian Federation,36
Mozambique,Russian Federation,1
Cuba,Mozambique,1
Netherlands,Unified Team,2
Cuba,Netherlands,7
Cuba,Unified Team,8
Netherlands,Romania,10
Bulgaria,Soviet Union,91
Burundi,South Africa,1
Austria,Mozambique,1
Great Britain,Mozambique,1
Austria,Great Britain,10
Australia,Chinese Taipei,2
Ethiopia,Uganda,1
Botswana,United States of America,1
Botswana,Netherlands,1
Bahamas,Colombia,1
Bahamas,Grenada,1
Colombia,Grenada,1
Brazil,Norway,3
Canada,Uganda,1
Kenya,Poland,3
Norway,Poland,15
Belarus,Qatar,1
Belarus,Italy,6
Italy,Qatar,1
Czech Republic,India,1
Cuba,Greece,4
Kenya,Netherlands,3
Belgium,Kenya,1
Brazil,Sweden,6
Burkina Faso,People's Republic of China,1
Burkina Faso,Portugal,1
Ethiopia,Netherlands,2
Bahrain,Ethiopia,2
Bahrain,Netherlands,1
Jamaica,Puerto Rico,1
Jamaica,Namibia,1
Colombia,Italy,2
Colombia,People's Republic of China,7
Kenya,Uganda,2
Jamaica,Poland,1
Bahamas,Dominican Republic,1
Cuba,Germany,20
People's Republic of China,Poland,10
Australia,Ukraine,5
Australia,ROC,5
New Zealand,People's Republic of China,7
Portugal,Venezuela,1
Spain,Venezuela,1
Portugal,Spain,1
Norway,Sweden,84
Czech Republic,Kazakhstan,1
Czechoslovakia,Spain,2
Czechoslovakia,United States of America,27
Spain,United States of America,34
Belarus,Cuba,2
Estonia,United States of America,3
Chinese Taipei,United States of America,4
Chinese Taipei,Soviet Union,1
Canada,German Democratic Republic (Germany),12
Czech Republic,Estonia,3
Hungary,Lithuania,2
Estonia,Lithuania,2
Estonia,Hungary,3
Belarus,Germany,18
Germany,Lithuania,5
Cuba,Lithuania,3
Estonia,Poland,1
Lithuania,Poland,2
Germany,Islamic Republic of Iran,4
Estonia,Germany,8
Estonia,Islamic Republic of Iran,1
Cuba,Czechoslovakia,3
Bohemia,Hungary,3
Bohemia,United States of America,2
Lithuania,South Africa,1
Czech Republic,Greece,1
Germany,Russian Federation,86
Belarus,Russian Federation,25
Australia,Bulgaria,1
Croatia,People's Republic of China,4
Croatia,Cuba,2
Federal Republic of Germany,Romania,16
Hungary,Romania,38
Federal Republic of Germany,Hungary,8
Bulgaria,Romania,25
Belarus,Greece,4
Germany,Romania,22
Ireland,Sweden,1
Hungary,Ukraine,8
Belarus,Slovenia,3
Hungary,Yugoslavia,11
United States of America,Yugoslavia,24
Hungary,Slovenia,1
Hungary,Japan,22
Japan,Slovenia,6
Finland,Ireland,3
Belarus,Tajikistan,1
Poland,Tajikistan,1
Belarus,Poland,6
Hungary,Poland,36
Italy,Poland,34
Great Britain,People's Republic of China,37
Lithuania,Sweden,1
Great Britain,Lithuania,6
Belarus,Syrian Arab Republic,2
Great Britain,Syrian Arab Republic,1
Belarus,Great Britain,6
Great Britain,Ukraine,9
Australia,Federal Republic of Germany,17
Belgium,Canada,9
Czech Republic,Sweden,3
Cuba,Sweden,4
Cuba,Poland,21
Australia,Sweden,26
Australia,Norway,7
Qatar,United States of America,2
Canada,Qatar,2
Great Britain,Qatar,1
Federal Republic of Germany,Sweden,11
Federal Republic of Germany,People's Republic of China,3
People's Republic of China,Sweden,6
Canada,Ukraine,8
Qatar,Ukraine,1
Algeria,Russian Federation,1
Algeria,Cuba,3
South Africa,Ukraine,2
Bulgaria,Ukraine,8
Cuba,Romania,12
Belgium,Croatia,1
South Africa,Soviet Union,5
Bulgaria,Italy,12
Austria,Bulgaria,2
Bulgaria,Spain,5
Croatia,Spain,5
Bulgaria,Croatia,1
Poland,Romania,13
Russian Federation,Sweden,14
Romania,South Africa,2
Romania,Sweden,14
Australia,Romania,9
Greece,Sweden,4
Greece,Norway,3
Hungary,Sweden,36
Latvia,Norway,2
Latvia,Russian Federation,7
Czech Republic,Great Britain,6
Czech Republic,Finland,4
Czechoslovakia,Finland,15
Czechoslovakia,Great Britain,4
